circuit_id,circuit_ref,circuit_nm,circuit_type,race_direction,circuit_city,circuit_country,circuit_length_miles,circuit_length_km,race_nm,races_held,season_utilize
75,portimao,Algarve International Circuit,Race circuit,Clockwise,PortimÃ£o,Portugal,2.891 mi,4.653 km ,Portuguese Grand Prix,1,2020
71,sochi,Sochi Autodrom,Race circuit,Clockwise,Sochi,Russia,3.634 mi,5.848 km ,Russian Grand Prix,7,2014 2020
15,marina_bay,Marina Bay Street Circuit,Street circuit,Anti-clockwise,Marina Bay,Singapore,3.146 mi,5.063 km ,Singapore Grand Prix,12,2008 2019
56,george,Prince George Circuit,Race circuit,Clockwise,East London,South Africa,2.436 mi,3.920 km ,South African Grand Prix,3,"1962 1963, 1965"
30,kyalami,Kyalami Racing Circuit,Race circuit,Anti-clockwise,Midrand,South Africa,2.610 mi,4.200 km ,South African Grand Prix,20,"1967 1980, 1982 1985, 1992 1993"
67,pedralbes,Circuit de Pedralbes,Street circuit,Anti-clockwise,Barcelona,Spain,2.356 mi,3.791 km ,Spanish Grand Prix,4,"1969, 1971, 1973, 1975"
49,montjuic,Montjuic circuit,Street circuit,Clockwise,Barcelona,Spain,3.925 mi,6.316 km ,Spanish Grand Prix,2,"1951, 1954"
26,jerez,Circuito de Jerez,Race circuit,Clockwise,Jerez de la Frontera,Spain,2.751 mi,4.428 km ,"Spanish Grand Prix,European Grand Prix",7,"1986 1990, 1994, 1997"
45,jarama,Circuito del Jarama,Race circuit,Clockwise,Madrid,Spain,2.115 mi,3.404 km ,Spanish Grand Prix,9,"1968, 1970, 1972, 1974, 1976 1979, 1981"
4,catalunya,Circuit de Barcelona-Catalunya,Race circuit,Clockwise,Montmelo,Spain,2.892 mi,4.655 km ,Spanish Grand Prix,30,1991 2020
12,valencia,Valencia Street Circuit,Street circuit,Clockwise,Valencia,Spain,3.367 mi,5.419 km ,European Grand Prix,5,2008 2012
47,anderstorp,Scandinavian Raceway,Race circuit,Clockwise,Anderstorp,Sweden,2.505 mi,4.031 km ,Swedish Grand Prix,6,1973 1978
66,bremgarten,Circuit Bremgarten,Road circuit,Clockwise,Bern,Switzerland,4.479 mi,7.208 km ,Swiss Grand Prix,5,1950 1954
5,istanbul,Istanbul Park,Race circuit,Anti-clockwise,Istanbul,Turkey,3.317 mi,5.338 km ,Turkish Grand Prix,8,"2005 2011, 2020"
31,donington,Donington Park,Race circuit,Clockwise,Castle Donington,United Kingdom,2.498 mi,4.020 km ,European Grand Prix,1,1993
38,brands_hatch,Brands Hatch,Race circuit,Clockwise,West Kingsdown,United Kingdom,2.301 mi,3.703 km ,"British Grand Prix,European Grand Prix",14,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982 1986"
58,aintree,Aintree Motor Racing Circuit,Road circuit,Clockwise,Aintree,United Kingdom,3.000 mi,4.828 km ,British Grand Prix,5,"1955, 1957, 1959, 1961 1962"
9,silverstone,Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,3.660 mi,5.891 km ,"British Grand Prix,70th Anniversary Grand Prix",55,"1950 1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987 2020[a]"
24,yas_marina,Yas Marina Circuit,Race circuit,Anti-clockwise,Abu Dhabi,United Arab Emirates,3.451 mi,5.554 km ,Abu Dhabi Grand Prix,12,2009 2020
69,americas,Circuit of the Americas,Race circuit,Anti-clockwise,Austin,United States,3.426 mi,5.513 km ,United States Grand Prix,8,2012 2019
43,long_beach,Long Beach Street Circuit,Street circuit,Clockwise,Long Beach,United States,2.035 mi,3.275 km ,United States Grand Prix West,8,1976 1983
60,riverside,Riverside International Raceway,Race circuit,Clockwise,Moreno Valley,United States,3.275 mi,5.271 km ,United States Grand Prix,1,1960
42,dallas,Dallas Grand Prix Circuit,Street circuit,Anti-clockwise,Dallas,United States,2.424 mi,3.901 km ,Dallas Grand Prix,1,1984
37,detroit,Detroit street circuit,Street circuit,Anti-clockwise,Detroit,United States,2.590 mi,4.168 km ,Detroit Grand Prix,7,1982 1988
63,sebring,Sebring International Raceway,Road circuit,Clockwise,Sebring,United States,5.192 mi,8.356 km ,United States Grand Prix,1,1959
19,indianapolis,Indianapolis Motor Speedway,Race circuit,Clockwise,Speedway,United States,2.605 mi,4.192 km ,"Indianapolis 500,[b]United States Grand Prix",19,"1950 1960, 2000 2007"
44,las_vegas,Caesars Palace Grand Prix Circuit,Street circuit,Anti-clockwise,Las Vegas,United States,2.268 mi,3.650 km ,Caesars Palace Grand Prix,2,1981 1982
46,watkins_glen,Watkins Glen,Race circuit,Clockwise,Watkins Glen,United States,3.374 mi,5.430 km ,United States Grand Prix,20,1961 1980
33,phoenix,Phoenix street circuit,Street circuit,Anti-clockwise,Phoenix,United States,2.312 mi,3.720 km ,United States Grand Prix,3,1989 1991
23,osterreichring,A1-Ring,Race circuit,Clockwise,Spielburg,Austria,2.688 mi,4.326 km,Austrian Grand Prix,18,"1970 1987, 1997 2003"
